//ID	日付	時刻	緯度	経度	速度(km/s)	高度
1	2018/1/11	15-28-58	35.26.49.836	136.40.27.012	0	25
2	2018/1/11	15-28-58	35.26.49.836	136.40.27.012	0	25
3	2018/1/11	15-28-59	35.26.49.524	136.40.27.174	0	27
4	2018/1/11	15-29-00	35.26.49.494	136.40.27.348	0	29
5	2018/1/11	15-29-01	35.26.49.464	136.40.27.270	0.2	31
6	2018/1/11	15-29-03	35.26.49.512	136.40.27.216	1.7	24
7	2018/1/11	15-29-04	35.26.49.500	136.40.27.258	0.2	21
8	2018/1/11	15-29-05	35.26.49.542	136.40.27.306	0.4	23
9	2018/1/11	15-29-06	35.26.49.572	136.40.27.318	0.2	25
10	2018/1/11	15-29-07	35.26.49.596	136.40.27.330	0.3	26
11	2018/1/11	15-29-08	35.26.49.584	136.40.27.306	0.3	28
12	2018/1/11	15-29-09	35.26.49.572	136.40.27.288	0.2	28
13	2018/1/11	15-29-10	35.26.49.560	136.40.27.282	0.2	29
14	2018/1/11	15-29-11	35.26.49.554	136.40.27.276	0.2	29
15	2018/1/11	15-29-12	35.26.49.548	136.40.27.270	0.3	29
16	2018/1/11	15-29-13	35.26.49.542	136.40.27.270	0.2	29
17	2018/1/11	15-29-14	35.26.49.536	136.40.27.270	0.3	29
18	2018/1/11	15-29-15	35.26.49.530	136.40.27.270	0.3	29
19	2018/1/11	15-29-16	35.26.49.524	136.40.27.270	0.3	29
20	2018/1/11	15-29-17	35.26.49.518	136.40.27.270	1.2	29
21	2018/1/11	15-29-18	35.26.49.512	136.40.27.294	3	29
22	2018/1/11	15-29-19	35.26.49.500	136.40.27.336	4.5	29
23	2018/1/11	15-29-20	35.26.49.506	136.40.27.390	5.7	29
24	2018/1/11	15-29-21	35.26.49.512	136.40.27.456	6.6	29
25	2018/1/11	15-29-22	35.26.49.524	136.40.27.534	7.5	28
26	2018/1/11	15-29-23	35.26.49.530	136.40.27.618	8.1	28
27	2018/1/11	15-29-24	35.26.49.530	136.40.27.714	8.5	28
28	2018/1/11	15-29-25	35.26.49.518	136.40.27.804	8.6	28
29	2018/1/11	15-29-26	35.26.49.506	136.40.27.900	8.3	28
30	2018/1/11	15-29-27	35.26.49.488	136.40.27.978	7.2	28
31	2018/1/11	15-29-28	35.26.49.476	136.40.28.038	4.2	28
32	2018/1/11	15-29-29	35.26.49.470	136.40.28.068	1.9	28
33	2018/1/11	15-29-30	35.26.49.470	136.40.28.080	0.7	28
34	2018/1/11	15-29-31	35.26.49.464	136.40.28.086	0.3	27
35	2018/1/11	15-29-32	35.26.49.464	136.40.28.092	1.5	27
36	2018/1/11	15-29-33	35.26.49.458	136.40.28.116	2.5	27
37	2018/1/11	15-29-34	35.26.49.458	136.40.28.146	2.7	27
38	2018/1/11	15-29-35	35.26.49.464	136.40.28.182	4.3	27
39	2018/1/11	15-29-36	35.26.49.482	136.40.28.224	5	27
40	2018/1/11	15-29-37	35.26.49.518	136.40.28.266	5.6	27
41	2018/1/11	15-29-38	35.26.49.572	136.40.28.296	7.7	27
42	2018/1/11	15-29-39	35.26.49.650	136.40.28.326	9.6	26
43	2018/1/11	15-29-40	35.26.49.740	136.40.28.356	11.5	26
44	2018/1/11	15-29-41	35.26.49.848	136.40.28.386	12.7	26
45	2018/1/11	15-29-42	35.26.49.968	136.40.28.416	13.1	26
46	2018/1/11	15-29-43	35.26.50.082	136.40.28.446	12.8	26
47	2018/1/11	15-29-44	35.26.50.190	136.40.28.476	12	26
48	2018/1/11	15-29-45	35.26.50.298	136.40.28.500	11.3	26
49	2018/1/11	15-29-46	35.26.50.394	136.40.28.524	10.5	26
50	2018/1/11	15-29-47	35.26.50.484	136.40.28.548	9.8	26
51	2018/1/11	15-29-48	35.26.50.568	136.40.28.572	9.1	25
52	2018/1/11	15-29-49	35.26.50.646	136.40.28.590	8.4	26
53	2018/1/11	15-29-50	35.26.50.718	136.40.28.608	7	26
54	2018/1/11	15-29-51	35.26.50.766	136.40.28.620	4.7	26
55	2018/1/11	15-29-52	35.26.50.796	136.40.28.632	2.29	26
56	2018/1/11	15-29-53	35.26.50.808	136.40.28.632	0.5	26
57	2018/1/11	15-29-54	35.26.50.808	136.40.28.638	0.4	26
58	2018/1/11	15-29-55	35.26.50.808	136.40.28.638	0.4	26
59	2018/1/11	15-29-56	35.26.50.802	136.40.28.638	0.2	26
60	2018/1/11	15-29-57	35.26.50.802	136.40.28.638	0.2	26
61	2018/1/11	15-29-58	35.26.50.802	136.40.28.632	0.2	26
62	2018/1/11	15-29-59	35.26.50.802	136.40.28.632	0.2	26
63	2018/1/11	15-30-00	35.26.50.796	136.40.28.632	0.2	26
64	2018/1/11	15-30-01	35.26.50.796	136.40.28.632	0.2	26
65	2018/1/11	15-30-02	35.26.50.802	136.40.28.632	1.1	27
66	2018/1/11	15-30-03	35.26.50.820	136.40.28.638	3.5	27
67	2018/1/11	15-30-04	35.26.50.862	136.40.28.650	6.9	27
68	2018/1/11	15-30-05	35.26.50.940	136.40.28.674	10.7	27
69	2018/1/11	15-30-06	35.26.51.054	136.40.28.704	14.2	28
70	2018/1/11	15-30-07	35.26.51.192	136.40.28.734	17.39	28
71	2018/1/11	15-30-08	35.26.51.366	136.40.28.776	20.3	28
72	2018/1/11	15-30-09	35.26.51.552	136.40.28.818	22.2	28
73	2018/1/11	15-30-10	35.26.51.762	136.40.28.860	23.4	27
74	2018/1/11	15-30-11	35.26.51.978	136.40.28.890	23.9	28
75	2018/1/11	15-30-12	35.26.52.188	136.40.28.896	22.7	27
76	2018/1/11	15-30-13	35.26.52.386	136.40.28.854	21.6	27
77	2018/1/11	15-30-14	35.26.52.560	136.40.28.746	21.2	27
78	2018/1/11	15-30-15	35.26.52.704	136.40.28.590	21.6	27
79	2018/1/11	15-30-16	35.26.52.806	136.40.28.368	23.4	27
80	2018/1/11	15-30-17	35.26.52.866	136.40.28.104	25.9	27
81	2018/1/11	15-30-18	35.26.52.896	136.40.27.804	28.6	26
82	2018/1/11	15-30-19	35.26.52.914	136.40.27.468	31.4	26
83	2018/1/11	15-30-20	35.26.52.926	136.40.27.102	33.7	26
84	2018/1/11	15-30-21	35.26.52.938	136.40.26.706	36.1	26
85	2018/1/11	15-30-22	35.26.52.956	136.40.26.286	38.6	26
86	2018/1/11	15-30-23	35.26.52.980	136.40.25.842	40.79	26
87	2018/1/11	15-30-24	35.26.53.004	136.40.25.374	42.7	26
88	2018/1/11	15-30-25	35.26.53.040	136.40.24.888	44.6	26
89	2018/1/11	15-30-26	35.26.53.070	136.40.24.384	46.4	26
90	2018/1/11	15-30-27	35.26.53.094	136.40.23.856	47.9	26
91	2018/1/11	15-30-28	35.26.53.118	136.40.23.316	49	26
92	2018/1/11	15-30-29	35.26.53.136	136.40.22.764	49.9	26
93	2018/1/11	15-30-30	35.26.53.160	136.40.22.200	50.9	26
94	2018/1/11	15-30-31	35.26.53.184	136.40.21.630	51.1	26
95	2018/1/11	15-30-32	35.26.53.208	136.40.21.060	50.6	26
96	2018/1/11	15-30-33	35.26.53.232	136.40.20.496	50.6	26
97	2018/1/11	15-30-34	35.26.53.256	136.40.19.920	52.9	26
98	2018/1/11	15-30-35	35.26.53.292	136.40.19.296	59.5	26
99	2018/1/11	15-30-36	35.26.53.328	136.40.18.582	68.2	26
100	2018/1/11	15-30-37	35.26.53.370	136.40.17.778	76.3	26
101	2018/1/11	15-30-38	35.26.53.406	136.40.16.926	76	26
102	2018/1/11	15-30-39	35.26.53.442	136.40.16.110	70.7	26
