ID	時間	x	y	status
810	15:51:20	1509	421	2
811	15:51:20	245	409	2
812	15:51:20	-222	346	2
813	15:51:21	85	375	2
814	15:51:21	128	393	2
815	15:51:21	-5	353	2
816	15:51:21	53	328	2
817	15:51:21	-48	331	2
818	15:51:21	1271	285	2
819	15:51:21	1576	354	2
820	15:51:21	1901	408	2
821	15:51:22	-3	380	2
822	15:51:22	609	363	2
823	15:51:22	432	324	3
824	15:51:22	302	310	0
825	15:51:22	92	347	0
826	15:51:22	191	343	0
827	15:51:22	166	340	0
828	15:51:22	140	340	1
829	15:51:23	420	394	2
830	15:51:23	1214	446	2
831	15:51:23	9	379	2
832	15:51:23	487	253	2
833	15:51:23	512	323	2
834	15:51:23	756	288	3
835	15:51:23	260	348	0
836	15:51:23	341	324	0
837	15:51:24	-207	444	0
838	15:51:24	1460	432	0
839	15:51:24	817	430	0
840	15:51:24	175	409	0
841	15:51:24	172	491	0
842	15:51:24	964	412	0
843	15:51:24	1191	445	0
844	15:51:25	1236	423	0
845	15:51:25	574	367	0
846	15:51:25	1015	458	0
847	15:51:25	1100	442	0
848	15:51:25	562	386	0
849	15:51:25	1067	338	0
850	15:51:25	1100	397	0
851	15:51:25	1471	405	0
852	15:51:26	1141	356	0
853	15:51:26	433	412	0
854	15:51:26	54	329	0
855	15:51:26	472	317	0
856	15:51:26	6	338	0
857	15:51:26	351	260	0
858	15:51:26	-34	299	0
859	15:51:26	475	258	0
860	15:51:27	101	405	0
861	15:51:27	1044	405	0
862	15:51:27	847	417	0
863	15:51:27	1064	433	0
864	15:51:27	522	402	0
865	15:51:27	891	433	0
866	15:51:28	736	310	0
867	15:51:28	1869	455	0
868	15:51:28	1434	452	0
869	15:51:28	1006	473	0
870	15:51:28	1309	425	0
871	15:51:28	1495	436	0
872	15:51:28	1485	451	0
873	15:51:28	1171	393	0
874	15:51:29	304	279	0
875	15:51:29	343	294	0
876	15:51:29	367	293	0
877	15:51:29	273	291	0
878	15:51:29	279	296	0
879	15:51:29	411	286	0
880	15:51:29	199	309	0
881	15:51:29	496	268	0
882	15:51:30	-361	295	0
883	15:51:30	-101	331	0
884	15:51:30	-21	344	1
885	15:51:30	391	312	2
886	15:51:30	35	308	2
887	15:51:30	522	275	2
888	15:51:30	493	287	2
889	15:51:30	409	332	2
890	15:51:31	-17	462	2
891	15:51:31	1042	362	2
892	15:51:31	1153	407	3
893	15:51:31	1107	415	0
894	15:51:31	1037	405	0
895	15:51:31	1013	352	0
896	15:51:31	904	391	0
897	15:51:32	900	464	0
898	15:51:32	1850	381	0
899	15:51:32	188	302	0
900	15:51:32	204	285	0
901	15:51:32	102	316	0
902	15:51:32	63	313	1
903	15:51:32	164	315	2
904	15:51:32	261	314	2
905	15:51:33	90	307	2
906	15:51:33	477	252	2
907	15:51:33	-151	384	2
908	15:51:33	1331	356	2
909	15:51:33	1141	353	2
910	15:51:33	1097	392	2
911	15:51:33	1122	426	3
912	15:51:33	1114	441	0
913	15:51:34	1146	430	0
914	15:51:34	1023	422	0
915	15:51:34	914	421	0
916	15:51:34	1004	403	0
917	15:51:34	1001	350	0
918	15:51:34	624	497	0
919	15:51:35	315	375	0
920	15:51:35	148	391	0
921	15:51:35	-54	373	0
922	15:51:35	290	397	0
923	15:51:35	-112	321	1
924	15:51:35	188	337	2
925	15:51:35	226	320	2
926	15:51:35	334	312	2
927	15:51:36	235	309	2
928	15:51:36	911	462	2
929	15:51:36	1018	361	2
930	15:51:36	271	364	2
931	15:51:36	338	374	2
932	15:51:36	-83	392	2
933	15:51:37	-239	420	2
934	15:51:37	-273	520	2
935	15:51:37	-2	509	2
936	15:51:37	824	512	2
937	15:51:37	720	436	2
938	15:51:37	1067	436	2
939	15:51:37	1095	338	3
940	15:51:37	1531	398	0
941	15:51:38	171	391	0
942	15:51:38	268	337	0
943	15:51:38	563	308	0
944	15:51:38	-37	293	0
945	15:51:38	-18	285	0
946	15:51:38	67	286	1
947	15:51:38	108	306	2
948	15:51:38	117	302	2
949	15:51:38	-331	275	2
950	15:51:39	424	337	2
951	15:51:39	-116	420	2
952	15:51:39	634	452	2
953	15:51:39	646	451	2
954	15:51:39	765	472	2
955	15:51:39	147	445	2
956	15:51:39	332	434	2
957	15:51:40	578	441	3
958	15:51:40	929	389	0
959	15:51:40	961	432	0
960	15:51:40	916	394	0
961	15:51:40	612	411	0
962	15:51:40	484	364	0
963	15:51:40	431	375	0
964	15:51:40	279	378	0
965	15:51:41	201	381	0
966	15:51:41	91	383	0
967	15:51:41	263	381	1
968	15:51:41	-35	374	2
969	15:51:41	-75	393	2
970	15:51:41	-24	396	2
971	15:51:41	-219	416	2
972	15:51:41	116	388	2
973	15:51:42	936	421	2
974	15:51:42	455	241	2
975	15:51:42	553	246	2
